date,district,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon,area
2016-07-01,Baardheere,16.0,,1.022,1.82,,,50.0,750.0,520.0,,baardheere
2016-07-01,Badhaadhe,,,15.0,,,,,,,,badhaadhe
2016-07-01,Balcad,120.0,,2.625,,,,200.0,300.0,,,balcad
2016-07-01,Baraawe,45.0,,430.0,,,,7.0,,,,baraawe
2016-07-01,Baydhaba,1.14,400.0,2.1,,,,522.0,2.675,,,baydhaba
2016-07-01,Belet Weyne,,,400.0,1.82,20.0,,28.0,135.0,240.0,1.6,belet weyne
2016-07-01,Belet Xaawo,2.0,,61.0,65.0,,,,14.0,520.0,,belet xaawo
2016-07-01,Borama,,,1.02,,,,,7.5,,,borama
2016-07-01,Bu'aale,110.0,,700.0,,,,740.0,200.0,,,bu'aale
2016-07-01,Bulo Burto,,,455.0,1.12,6.0,,18.0,583.0,90.0,400.0,bulo burto
2016-07-01,Burco,,,,,,,,60.0,,,burco
2016-07-01,Buur Hakaba,485.0,,72.0,,,,64.0,3.5,,,buur hakaba
2016-07-01,Cadale,10.0,,,,,,,13.0,,,cadale
2016-07-01,Ceel Bur,,,,,,,,,,,ceel buur
2016-07-01,Ceel Dheer,,,,,,,,,,,ceel dheer
2016-07-01,Diinsoor,660.0,312.0,2.37,,,,300.0,2.506,,,diinsoor
2016-07-01,Doolow,12.0,,639.0,910.0,,,,8.0,300.0,,doolow
2016-07-01,El berde,,,,,,,,,,,ceel barde
2016-07-01,Garbaharey/Burdhuubo,9.0,,460.0,650.0,,,,75.0,390.0,,garbahaarey
2016-07-01,Gebiley,,,1.2,,,,,20.8,,,gebiley
2016-07-01,Hargeysa,,,600.0,,,,,5.2,,,hargeysa
2016-07-01,Hobyo,,,,,,,,,,,hobyo
2016-07-01,Jalalaqsi,,,410.0,750.0,4.0,,113.0,125.0,60.0,200.0,jalalaqsi
2016-07-01,Jamaame,150.0,,1690.0,,,,170.0,,,,jamaame
2016-07-01,Jilib,180.0,,1.25,,,,810.0,,,,jilib
2016-07-01,Jowhar,140.0,,3.15,,,1.0,250.0,2.75,,,jowhar
2016-07-01,Kismaayo,,,170.0,,,,,,,,kismaayo
2016-07-01,Kurtunwaarey,130.0,,132.33,,,,175.0,,,,kurtunwaarey
2016-07-01,Luuq,12.0,,918.0,1.69,,,,45.0,520.0,,luuq
2016-07-01,Marka,240.0,,7.35,,,,60.0,,,,marka
2016-07-01,Owdweyne,,,75.0,,,,,910.0,,,owdweyne
2016-07-01,Qansax Dheere,662.0,288.0,714.0,,,,270.0,3.236,,,qansax dheere
2016-07-01,Qoryooley,103.0,,4.37,,,,129.0,2.5,,,qoryooley
2016-07-01,Rab Dhuure,12.0,,15.0,,,,,91.0,,,rab dhuure
2016-07-01,Saakow,190.0,,650.0,,,,770.0,1.1,,,saakow
2016-07-01,Sablaale,80.0,,1.973,,,,80.0,,,,sablaale
2016-07-01,Sheikh,,,,,,,,150.0,,,sheikh
2016-07-01,Tayeeglow,33.0,,18.0,,,,,360.0,,,tayeeglow
2016-07-01,Waajid,24.0,,30.0,,,,,210.0,,,waajid
2016-07-01,Wanla weyn,105.0,,,,,,200.0,5.5,,,wanla weyn
2016-07-01,Xarardheere,,,,,,,,,,,xarardheere
2016-07-01,Xudur,30.0,,40.0,,,,,315.0,,,xudur
2017-01-01,Adan Yabaal,,,,,,,,,,,adan yabaal
2017-01-01,Afgooye,575.0,,3.74,,,,400.0,1.72,,,afgooye
2017-01-01,Afmadow,3.0,,39.0,,,,5.0,,,,afmadow
2017-01-01,Baardheere,22.0,,510.0,1.235,,,40.0,1.2,450.0,,baardheere
2017-01-01,Badhaadhe,,,12.0,,,,,,,,badhaadhe
2017-01-01,Balcad,120.0,,2.4,,,,100.0,150.0,,,balcad
2017-01-01,Baraawe,,,,,,,,,,,baraawe
2017-01-01,Baydhaba,128.0,80.0,120.0,,,,180.0,1.5,,,baydhaba
2017-01-01,Belet Weyne,,,150.0,3.5,30.0,,,180.0,280.0,1.3,belet weyne
2017-01-01,Belet Xaawo,0.0,,35.0,240.0,,,,,825.0,,belet xaawo
2017-01-01,Borama,,,,,,,,,,,borama
2017-01-01,Bu'aale,14.0,,270.0,,,,50.0,100.0,,,bu'aale
2017-01-01,Bulo Burto,,,200.0,1.5,10.0,,,315.0,120.0,300.0,bulo burto
2017-01-01,Burco,,,,,,,,,,,burco
2017-01-01,Buur Hakaba,94.0,,30.0,,,,12.0,960.0,,,buur hakaba
2017-01-01,Cadale,,,,,,,,,,,cadale
2017-01-01,Ceel Bur,75.0,,,,,,,30.0,,,ceel buur
2017-01-01,Ceel Dheer,300.0,,,,,,,60.0,,,ceel dheer
2017-01-01,Diinsoor,157.0,20.0,132.0,,,,200.0,1.995,,,diinsoor
2017-01-01,Doolow,6.0,,296.0,1.44,,,,,300.0,,doolow
2017-01-01,El berde,,,,,,,,,,,ceel barde
2017-01-01,Garbaharey/Burdhuubo,4.0,,400.0,1.17,,,,,600.0,,garbahaarey
2017-01-01,Gebiley,,,,,,,,,,,gebiley
2017-01-01,Hargeysa,,,,,,,,,,,hargeysa
2017-01-01,Hobyo,,,,,,,,,,,hobyo
2017-01-01,Jalalaqsi,,,165.0,775.0,6.0,,,210.0,75.0,200.0,jalalaqsi
2017-01-01,Jamaame,42.0,,230.0,,,,114.0,,,,jamaame
2017-01-01,Jilib,16.0,,370.0,,,,60.0,,,,jilib
2017-01-01,Jowhar,100.0,,2.1,,,375.0,450.0,,,,jowhar
2017-01-01,Kismaayo,4.0,,43.0,,,,,,,,kismaayo
2017-01-01,Kurtunwaarey,60.0,,1.104,,,,200.0,,,,kurtunwaarey
2017-01-01,Luuq,30.0,,525.0,1.3,,,,,1.0,,luuq
2017-01-01,Marka,204.0,,2.992,,,,540.0,,,,marka
2017-01-01,Owdweyne,,,,,,,,,,,owdweyne
2017-01-01,Qansax Dheere,159.0,30.0,125.0,,,,375.0,2.22,,,qansax dheere
2017-01-01,Qoryooley,150.0,,1.3,,,,120.0,,,,qoryooley
2017-01-01,Rab Dhuure,,,,,,,,,,,rab dhuure
2017-01-01,Saakow,14.0,,316.0,,,,36.0,200.0,,,saakow
2017-01-01,Sablaale,30.0,,120.0,,,,455.0,,,,sablaale
2017-01-01,Sheikh,,,,,,,,,,,sheikh
2017-01-01,Tayeeglow,16.0,,,,,,,116.0,,,tayeeglow
2017-01-01,Waajid,,,,,,,,,,,waajid
2017-01-01,Wanla weyn,300.0,,,,,,700.0,2.856,,,wanla weyn
2017-01-01,Xarardheere,100.0,,,,,,,,,,xarardheere
2017-01-01,Xudur,10.0,,,,,,,100.0,,,xudur
2017-07-01,Adan Yabaal,,,,,,,,,,,adan yabaal
2017-07-01,Afgooye,410.0,,5.725,,,,,960.0,,,afgooye
2017-07-01,Afmadow,23.0,,241.0,,,,31.0,,,,afmadow
2017-07-01,Baardheere,32.0,,1.145,1.885,,,75.0,1.2,520.0,,baardheere
2017-07-01,Badhaadhe,4.0,,51.0,,,,2.0,,,,badhaadhe
2017-07-01,Balcad,30.0,,3.6,,,,,,,,balcad
2017-07-01,Baraawe,75.0,,840.0,,,,,,,,baraawe
2017-07-01,Baydhaba,500.0,160.0,2.0,,,,280.0,6.563,,,baydhaba
2017-07-01,Belet Weyne,,,240.0,3.08,50.0,,2.0,537.0,315.0,1.785,belet weyne
2017-07-01,Belet Xaawo,2.0,,68.0,130.0,,,,,650.0,,belet xaawo
2017-07-01,Borama,,,,,,,,810.0,,,borama
2017-07-01,Bu'aale,400.0,,2.1,,,,400.0,1.12,,,bu'aale
2017-07-01,Bulo Burto,,,225.0,1.5,22.0,,2.0,700.0,135.0,570.0,bulo burto
2017-07-01,Burco,,,,,,,,50.0,,,burco
2017-07-01,Buur Hakaba,218.0,,30.0,,,,36.0,1.9,,,buur hakaba
2017-07-01,Cadale,,,,,,,,,,,cadale
2017-07-01,Ceel Bur,,,,,,,,,,,ceel buur
2017-07-01,Ceel Dheer,90.0,,,,,,,15.0,,,ceel dheer
2017-07-01,Diinsoor,384.0,216.0,1.32,,,,240.0,8.1,,,diinsoor
2017-07-01,Doolow,8.0,,656.0,975.0,,,,,390.0,,doolow
2017-07-01,El berde,,,,,,,,,,,ceel barde
2017-07-01,Garbaharey/Burdhuubo,15.0,,516.0,975.0,,,,30.0,390.0,,garbahaarey
2017-07-01,Gebiley,,,60.0,,,,,12.0,,,gebiley
2017-07-01,Hargeysa,,,30.0,,,,,2.8,,,hargeysa
2017-07-01,Hobyo,,,,,,,,,,,hobyo
2017-07-01,Jalalaqsi,,,200.0,620.0,17.0,,13.0,360.0,99.0,400.0,jalalaqsi
2017-07-01,Jamaame,171.0,,374.782,,,,188.0,,,,jamaame
2017-07-01,Jilib,520.0,,202.8,,,,600.0,,,,jilib
2017-07-01,Jowhar,40.0,,3.822,,,200.0,,,,,jowhar
2017-07-01,Kismaayo,61.0,,437.0,,,,25.0,,,,kismaayo
2017-07-01,Kurtunwaarey,250.0,,2.25,,,,,,,,kurtunwaarey
2017-07-01,Luuq,14.0,,750.0,1.625,,,,30.0,650.0,,luuq
2017-07-01,Marka,330.0,,6.75,,,,,,,,marka
2017-07-01,Owdweyne,,,,,,,,180.0,,,owdweyne
2017-07-01,Qansax Dheere,244.0,130.0,600.0,,,,144.0,2.175,,,qansax dheere
2017-07-01,Qoryooley,165.0,,380.76,,,,,200.0,,,qoryooley
2017-07-01,Rab Dhuure,12.0,,,,,,,36.0,,,rab dhuure
2017-07-01,Saakow,200.0,,1.4,,,,200.0,1.84,,,saakow
2017-07-01,Sablaale,130.0,,960.0,,,,,,,,sablaale
2017-07-01,Sheikh,,,,,,,,20.0,,,sheikh
2017-07-01,Tayeeglow,33.0,,18.0,,,,,336.0,,,tayeeglow
2017-07-01,Waajid,24.0,,12.0,,,,,120.0,,,waajid
2017-07-01,Wanla weyn,60.0,,,,,,,3.81,,,wanla weyn
2017-07-01,Xarardheere,80.0,,,,,,,11.0,,,xarardheere
2017-07-01,Xudur,30.0,,50.0,,,,,350.0,,,xudur
2018-01-01,Adan Yabaal,60.0,,,,,,,60.0,,,adan yabaal
2018-01-01,Afgooye,1520.0,,2.4,,,,691.1,4.8,,,afgooye
2018-01-01,Afmadow,24.0,,35.0,,,,13.0,,,,afmadow
2018-01-01,Baardheere,28.0,,849.0,1.2,,,90.0,1.68,600.0,,baardheere
2018-01-01,Badhaadhe,1.0,,4.0,,,,1.0,,,,badhaadhe
2018-01-01,Balcad,360.0,,3.5,,,,500.0,1.225,,,balcad
2018-01-01,Baraawe,60.0,,,,,,,,,,baraawe
2018-01-01,Baydhaba,213.0,300.0,200.0,,,,250.0,10.0,,,baydhaba
2018-01-01,Belet Weyne,,,200.0,3.78,40.0,,2.0,760.0,315.0,1.26,belet weyne
2018-01-01,Belet Xaawo,0.0,,47.0,180.0,,,,30.0,600.0,,belet xaawo
2018-01-01,Borama,,,,,,,,,,,borama
2018-01-01,Bu'aale,378.0,,1.35,,,,800.0,200.0,,,bu'aale
2018-01-01,Bulo Burto,,,378.0,1.8,14.0,,10.0,281.012,135.0,333.0,bulo burto
2018-01-01,Burco,,,,,,,,,,,burco
2018-01-01,Buur Hakaba,125.0,,40.0,,,,12.0,5.04,,,buur hakaba
2018-01-01,Cadale,12.0,,,,,,,30.0,,,cadale
2018-01-01,Ceel Bur,960.0,,,,,,,168.0,,,ceel buur
2018-01-01,Ceel Dheer,1.56,,,,,,,240.0,,,ceel dheer
2018-01-01,Diinsoor,199.0,48.0,80.0,,,,200.0,5.32,,,diinsoor
2018-01-01,Doolow,6.0,,660.0,1.2,,,,30.0,300.0,,doolow
2018-01-01,El berde,,,,,,,,,,,ceel barde
2018-01-01,Garbaharey/Burdhuubo,10.0,,615.0,1.08,,,,40.0,600.0,,garbahaarey
2018-01-01,Gebiley,,,,,,,,,,,gebiley
2018-01-01,Hargeysa,,,,,,,,,,,hargeysa
2018-01-01,Hobyo,300.0,,,,,,,72.0,,,hobyo
2018-01-01,Jalalaqsi,,,240.0,930.0,8.0,,20.0,785.0,66.0,250.0,jalalaqsi
2018-01-01,Jamaame,313.0,,586.0,,,,165.0,,,,jamaame
2018-01-01,Jilib,488.0,,62.21,,,,1.2,,,,jilib
2018-01-01,Jowhar,450.0,,4.2,,,2.0,500.0,1.925,,,jowhar
2018-01-01,Kismaayo,102.0,,161.0,,,,54.0,,,,kismaayo
2018-01-01,Kurtunwaarey,112.0,,1.5,,,,1.3,,,,kurtunwaarey
2018-01-01,Luuq,18.0,,630.0,1.04,,,,100.0,800.0,,luuq
2018-01-01,Marka,151.4,,6.3,,,,1.335,500.0,,,marka
2018-01-01,Owdweyne,,,,,,,,,,,owdweyne
2018-01-01,Qansax Dheere,196.0,38.0,156.0,,,,300.0,6.0,,,qansax dheere
2018-01-01,Qoryooley,350.0,,2.1,,,,613.0,600.0,,,qoryooley
2018-01-01,Rab Dhuure,16.0,,10.0,,,,,150.0,,,rab dhuure
2018-01-01,Saakow,420.0,,1.32,,,,400.0,400.0,,,saakow
2018-01-01,Sablaale,100.0,,250.0,,,,30.0,,,,sablaale
2018-01-01,Sheikh,,,,,,,,,,,sheikh
2018-01-01,Tayeeglow,60.0,,45.0,,,,,560.0,,,tayeeglow
2018-01-01,Waajid,15.0,,5.0,,,,,140.0,,,waajid
2018-01-01,Wanla weyn,600.0,,,,,,850.0,6.5,,,wanla weyn
2018-01-01,Xarardheere,1.32,,,,,,,240.0,,,xarardheere
2018-01-01,Xudur,50.0,,23.0,,,,,500.0,,,xudur
2018-07-01,Adan Yabaal,90.0,,,,,,,38.0,,,adan yabaal
2018-07-01,Afgooye,1240.0,,8.25,,,,448.0,9.8,,,afgooye
2018-07-01,Afmadow,33.0,,552.0,,,,32.0,,,,afmadow
2018-07-01,Baardheere,19.0,,375.0,210.0,,,168.0,2.85,195.0,,baardheere
2018-07-01,Badhaadhe,40.0,,600.0,,,,2.0,,,,badhaadhe
2018-07-01,Balcad,328.0,,3.44,,,,740.0,2.4,,,balcad
2018-07-01,Baraawe,140.0,,2.72,,,,80.0,,,,baraawe
2018-07-01,Baydhaba,1.575,1.2,5.15,,,,1.06,10.125,,,baydhaba
2018-07-01,Belet Weyne,,,200.0,2.1,30.0,,180.0,630.0,350.0,1.26,belet weyne
2018-07-01,Belet Xaawo,8.0,,11.0,60.0,,,,60.0,130.0,,belet xaawo
2018-07-01,Borama,,,,,,,,2.0,,,borama
2018-07-01,Bu'aale,180.0,,1280.0,,,,1000.0,720.0,,,bu'aale
2018-07-01,Bulo Burto,,,433.0,1.2,15.0,,175.0,1230.0,150.0,475.0,bulo burto
2018-07-01,Burco,,,,,,,,500.0,,,burco
2018-07-01,Buur Hakaba,705.0,520.0,160.0,,,,120.0,8.28,,,buur hakaba
2018-07-01,Cadale,60.0,,,,,,,25.0,,,cadale
2018-07-01,Ceel Bur,700.0,,,,,,,25.0,,,ceel buur
2018-07-01,Ceel Dheer,700.0,,,,,,,28.0,,,ceel dheer
2018-07-01,Diinsoor,893.0,560.0,2.2,,,,528.0,9.0,,,diinsoor
2018-07-01,Doolow,9.0,,322.0,240.0,,,,48.0,130.0,,doolow
2018-07-01,El berde,,,,,,,,,,,ceel barde
2018-07-01,Garbaharey/Burdhuubo,10.0,,348.0,390.0,,,,125.0,65.0,,garbahaarey
2018-07-01,Gebiley,,,400.0,,,,,6.2,,,gebiley
2018-07-01,Hargeysa,,,40.0,,,,,150.0,,,hargeysa
2018-07-01,Hobyo,150.0,,,,,,,15.0,,,hobyo
2018-07-01,Jalalaqsi,,,438.0,620.0,12.0,,358.0,1085.0,132.0,200.0,jalalaqsi
2018-07-01,Jamaame,398.0,,3.54,,,,328.0,,,,jamaame
2018-07-01,Jilib,290.0,,1600.0,,,,900.0,,,,jilib
2018-07-01,Jowhar,405.0,,5.19,,,200.0,841.12,3.5,,,jowhar
2018-07-01,Kismaayo,78.0,,618.0,,,,76.0,,,,kismaayo
2018-07-01,Kurtunwaarey,626.0,,12.68,,,,61.08,,,,kurtunwaarey
2018-07-01,Luuq,17.0,,401.0,325.0,,,,92.0,130.0,,luuq
2018-07-01,Marka,855.0,,358.58,,,,350.0,900.0,,,marka
2018-07-01,Owdweyne,,,,,,,,1.5,,,owdweyne
2018-07-01,Qansax Dheere,858.0,,2.0,,,,480.0,8.1,,,qansax dheere
2018-07-01,Qoryooley,586.0,,9.92,,,,310.0,900.0,,,qoryooley
2018-07-01,Rab Dhuure,8.0,,14.0,,,,,150.0,,,rab dhuure
2018-07-01,Saakow,520.0,,641.44,,,,1200.0,2.1,,,saakow
2018-07-01,Sablaale,175.0,,2.21,,,,180.0,,,,sablaale
2018-07-01,Sheikh,,,,,,,,250.0,,,sheikh
2018-07-01,Tayeeglow,24.0,,42.0,,,,,576.0,,,tayeeglow
2018-07-01,Waajid,12.0,,30.0,,,,,315.0,,,waajid
2018-07-01,Wanla weyn,750.0,,980.0,,,,575.0,9.6,,,wanla weyn
2018-07-01,Xarardheere,400.0,,,,,,,20.0,,,xarardheere
2018-07-01,Xudur,24.0,,60.0,,,,,616.0,,,xudur
2019-01-01,Adan Yabaal,30.0,,,,,,,23.0,,,adan yabaal
2019-01-01,Afgooye,1480.0,,3.15,,,,3.35,6.075,,,afgooye
2019-01-01,Afmadow,26.0,,94.0,,,,71.0,,,,afmadow
2019-01-01,Baardheere,38.0,,900.0,1.33,,,108.0,2.6,750.0,,baardheere
2019-01-01,Badhaadhe,10.0,,24.0,,,,4.0,,,,badhaadhe
2019-01-01,Balcad,300.0,,3.615,,,,535.0,1.4,,,balcad
2019-01-01,Baraawe,12.0,,120.0,,,,20.0,,,,baraawe
2019-01-01,Baydhaba,213.0,300.0,80.0,,,,250.0,6.3,,,baydhaba
2019-01-01,Belet Weyne,,,100.0,3.92,50.0,,2.0,1.08,350.0,840.0,belet weyne
2019-01-01,Belet Xaawo,5.0,,117.0,325.0,,,,56.0,240.0,,belet xaawo
2019-01-01,Borama,,,,,,,,,,,borama
2019-01-01,Bu'aale,144.0,,755.0,,,,472.0,320.0,,,bu'aale
2019-01-01,Bulo Burto,,,216.0,1.95,16.0,,5.0,106.056,165.0,285.0,bulo burto
2019-01-01,Burco,,,,,,,,,,,burco
2019-01-01,Buur Hakaba,125.0,,20.0,,,,12.0,3.6,,,buur hakaba
2019-01-01,Cadale,29.0,,,,,,,24.0,,,cadale
2019-01-01,Ceel Bur,1.14,,,,,,,700.0,,,ceel buur
2019-01-01,Ceel Dheer,1.8,,,,,,,1.225,,,ceel dheer
2019-01-01,Diinsoor,199.0,38.0,210.0,,,,200.0,6.525,,,diinsoor
2019-01-01,Doolow,20.0,,690.0,1.82,,,,60.0,675.0,,doolow
2019-01-01,El berde,,,,,,,,,,,ceel barde
2019-01-01,Garbaharey/Burdhuubo,22.0,,695.0,1.33,,,,140.0,750.0,,garbahaarey
2019-01-01,Gebiley,,,,,,,,,,,gebiley
2019-01-01,Hargeysa,,,,,,,,,,,hargeysa
2019-01-01,Hobyo,2.0,,,,,,,490.0,,,hobyo
2019-01-01,Jalalaqsi,,,180.0,1.085,10.0,,10.0,731.0,83.0,200.0,jalalaqsi
2019-01-01,Jamaame,304.0,,919.0,,,,644.0,,,,jamaame
2019-01-01,Jilib,143.0,,13.225,,,,377.0,,,,jilib
2019-01-01,Jowhar,480.0,,4.98,,,3.0,701.355,1.08,,,jowhar
2019-01-01,Kismaayo,109.0,,180.0,,,,170.0,,,,kismaayo
2019-01-01,Kurtunwaarey,300.0,,1.5,,,,3.9,,,,kurtunwaarey
2019-01-01,Luuq,30.0,,765.0,1.3,,,,240.0,1.04,,luuq
2019-01-01,Marka,460.0,,5.4,,,,2.92,,,,marka
2019-01-01,Owdweyne,,,,,,,,,,,owdweyne
2019-01-01,Qansax Dheere,196.0,48.0,300.0,,,,300.0,7.85,,,qansax dheere
2019-01-01,Qoryooley,220.0,,750.0,,,,894.0,860.0,,,qoryooley
2019-01-01,Rab Dhuure,8.0,,10.0,,,,,100.0,,,rab dhuure
2019-01-01,Saakow,152.0,,470.0,,,,740.0,1.4,,,saakow
2019-01-01,Sablaale,36.0,,500.0,,,,575.0,,,,sablaale
2019-01-01,Sheikh,,,,,,,,,,,sheikh
2019-01-01,Tayeeglow,60.0,,80.0,,,,,1.225,,,tayeeglow
2019-01-01,Waajid,10.0,,3.0,,,,,100.0,,,waajid
2019-01-01,Wanla weyn,525.0,,,,,,660.0,4.8,,,wanla weyn
2019-01-01,Xarardheere,700.0,,,,,,,960.0,,,xarardheere
2019-01-01,Xudur,50.0,,30.0,,,,,525.0,,,xudur
2019-07-01,Adan Yabaal,,,,,,,,30.0,,,adan yabaal
2019-07-01,Afgooye,266.0,,5.5,,,,360.0,900.0,,,afgooye
2019-07-01,Afmadow,16.0,,136.0,,,,8.0,,,,afmadow
2019-07-01,Baardheere,18.0,,1500.0,4.2,,,,,1440.0,,baardheere
2019-07-01,Badhaadhe,8.0,,36.0,,,,2.0,,,,badhaadhe
2019-07-01,Balcad,106.0,,4.46,,,,460.0,200.0,,,balcad
2019-07-01,Baraawe,32.0,,1112.0,,,,34.0,,,,baraawe
2019-07-01,Baydhaba,300.0,300.0,900.0,,,,180.0,3.75,,,baydhaba
2019-07-01,Belet Weyne,,,140.0,8.4,120.0,,408.0,1370.0,980.0,1890.0,belet weyne
2019-07-01,Belet Xaawo,8.0,,70.0,390.0,,,,,1260.0,,belet xaawo
2019-07-01,Borama,,,80.0,,,,,13.5,,,borama
2019-07-01,Bu'aale,64.0,,1016.0,,,,80.0,200.0,,,bu'aale
2019-07-01,Bulo Burto,,,370.0,4.5,32.0,,370.0,1651.0,390.0,760.0,bulo burto
2019-07-01,Burco,,,30.0,,,,,3.2,,,burco
2019-07-01,Buur Hakaba,72.0,,22.0,,,,,2.4,,,buur hakaba
2019-07-01,Cadale,,,,,,,,16.0,,,cadale
2019-07-01,Ceel Bur,170.0,,,,,,,,,,ceel buur
2019-07-01,Ceel Dheer,240.0,,,,,,,,,,ceel dheer
2019-07-01,Diinsoor,240.0,72.0,320.0,,,,216.0,5.7,,,diinsoor
2019-07-01,Doolow,28.0,,800.0,1500.0,,,,,1080.0,,doolow
2019-07-01,El berde,,,,,,,,,,,ceel barde
2019-07-01,Garbaharey/Burdhuubo,20.0,,800.0,2.08,,,,,850.0,,garbahaarey
2019-07-01,Gebiley,,,40.0,,,,,36.0,,,gebiley
2019-07-01,Hargeysa,,,20.0,,,,,5.6,,,hargeysa
2019-07-01,Hobyo,60.0,,,,,,,,,,hobyo
2019-07-01,Jalalaqsi,,,250.0,2.48,20.0,,726.0,700.0,232.0,500.0,jalalaqsi
2019-07-01,Jamaame,120.0,,936.0,,,,74.0,,,,jamaame
2019-07-01,Jilib,56.0,,1520.0,,,,77.0,,,,jilib
2019-07-01,Jowhar,134.0,,4.5,,,3.6,1340.0,,,,jowhar
2019-07-01,Kismaayo,54.0,,284.0,,,,14.0,,,,kismaayo
2019-07-01,Kurtunwaarey,190.0,,245.99,,,,740.0,,,,kurtunwaarey
2019-07-01,Luuq,20.0,,1020.0,2.8,,,,,1530.0,,luuq
2019-07-01,Marka,400.0,,3.8,,,,400.0,,,,marka
2019-07-01,Owdweyne,,,60.0,,,,,8.0,,,owdweyne
2019-07-01,Qansax Dheere,280.0,120.0,450.0,,,,180.0,5.4,,,qansax dheere
2019-07-01,Qoryooley,240.0,,3.6,,,,50.0,120.0,,,qoryooley
2019-07-01,Rab Dhuure,4.0,,,,,,,14.0,,,rab dhuure
2019-07-01,Saakow,62.0,,856.0,,,,80.0,320.0,,,saakow
2019-07-01,Sablaale,148.0,,3.8,,,,210.0,,,,sablaale
2019-07-01,Sheikh,,,30.0,,,,,960.0,,,sheikh
2019-07-01,Tayeeglow,12.0,,14.0,,,,,220.0,,,tayeeglow
2019-07-01,Waajid,4.0,,,,,,,10.0,,,waajid
2019-07-01,Wanla weyn,3.12,,,,,,174.0,9.6,,,wanla weyn
2019-07-01,Xarardheere,240.0,,,,,,,,,,xarardheere
2019-07-01,Xudur,20.0,,16.0,,,,,352.0,,,xudur
2020-01-01,Adan Yabaal,160.0,,,,,,,140.0,,,adan yabaal
2020-01-01,Afgooye,929.0,,4.98,,,,1501.5,13.8,,,afgooye
2020-01-01,Afmadow,,,696.0,,,,,,,,afmadow
2020-01-01,Baardheere,80.0,,1510.0,1680.0,,,420.0,5.2,1360.0,,baardheere
2020-01-01,Badhaadhe,,,896.0,,,,,,,,badhaadhe
2020-01-01,Balcad,220.0,,2.8,,,,880.0,2.8,,,balcad
2020-01-01,Baraawe,120.0,,2.34,,,,620.0,,,,baraawe
2020-01-01,Baydhaba,2.31,1600.0,3.2,,,,1920.0,20.8,,,baydhaba
2020-01-01,Belet Weyne,6.0,,,,,,496.0,960.0,,,belet weyne
2020-01-01,Belet Xaawo,24.0,,174.0,260.0,,,,168.0,360.0,,belet xaawo
2020-01-01,Borama,,,,,,,,,,,borama
2020-01-01,Bu'aale,720.0,,,,,,121.12,2.4,,,bu'aale
2020-01-01,Bulo Burto,54.0,,986.0,1500.0,16.0,,466.0,633.1919999999999,120.0,570.0,bulo burto
2020-01-01,Burco,,,,,,,,,,,burco
2020-01-01,Buur Hakaba,960.0,,2.0,,,,256.0,17.7,,,buur hakaba
2020-01-01,Cadale,140.0,,,,,,,112.0,,,cadale
2020-01-01,Ceel Bur,1200.0,,,,,,,900.0,,,ceel buur
2020-01-01,Ceel Dheer,2.88,,,,,,,1740.0,,,ceel dheer
2020-01-01,Diinsoor,1200.0,750.0,1140.0,,,,432.0,19.2,,,diinsoor
2020-01-01,Doolow,44.0,,1040.0,2.52,,,,72.0,1050.0,,doolow
2020-01-01,El berde,,,,,,,,,,,ceel barde
2020-01-01,Garbaharey/Burdhuubo,48.0,,1200.0,1680.0,,,,240.0,1200.0,,garbahaarey
2020-01-01,Gebiley,,,,,,,,,,,gebiley
2020-01-01,Hargeysa,,,,,,,,,,,hargeysa
2020-01-01,Hobyo,200.0,,,,,,,480.0,,,hobyo
2020-01-01,Jalalaqsi,44.0,,780.0,466.0,12.0,,410.0,1916.915,66.0,400.0,jalalaqsi
2020-01-01,Jamaame,,,559.436,,,,,,,,jamaame
2020-01-01,Jilib,860.0,,642.04,,,,522.02,,,,jilib
2020-01-01,Jowhar,80.0,,2.0,,,3.6,1316.315,3.61,,,jowhar
2020-01-01,Kismaayo,,,1252.0,,,,,,,,kismaayo
2020-01-01,Kurtunwaarey,144.0,,246.4,,,,302.899,,,,kurtunwaarey
2020-01-01,Luuq,64.0,,1260.0,1560.0,,,,480.0,1280.0,,luuq
2020-01-01,Marka,120.0,,5.64,,,,2.42,,,,marka
2020-01-01,Owdweyne,,,,,,,,,,,owdweyne
2020-01-01,Qansax Dheere,1120.0,960.0,2.56,,,,450.0,15.95,,,qansax dheere
2020-01-01,Qoryooley,490.0,,9.84,,,,820.0,6.576,,,qoryooley
2020-01-01,Rab Dhuure,110.0,,26.0,,,,,1530.0,,,rab dhuure
2020-01-01,Saakow,580.0,,,,,,161.06,6.0,,,saakow
2020-01-01,Sablaale,90.0,,4.608,,,,700.0,,,,sablaale
2020-01-01,Sheikh,,,,,,,,,,,sheikh
2020-01-01,Tayeeglow,374.0,,90.0,,,,,3.412,,,tayeeglow
2020-01-01,Waajid,130.0,,48.0,,,,,1480.0,,,waajid
2020-01-01,Wanla weyn,640.0,,,,,,1276.0,16.824,,,wanla weyn
2020-01-01,Xarardheere,2.28,,,,,,,1320.0,,,xarardheere
2020-01-01,Xudur,212.0,,78.0,,,,,2.52,,,xudur
2020-07-01,Adan Yabaal,40.0,,,,,,,120.0,,,adan yabaal
2020-07-01,Afgooye,492.0,,11.12,,,,450.0,1040.0,,,afgooye
